Summary Levels for 5-Year ACS Data Products,,,,,,,,
"Summary
Level
 Code","Geographic Component
 Code",Summary Level Description,Detailed Tables,"Data
Profiles","Comparison 
Profiles",Subject Tables for Subpopulation Groups,"Subject
Tables for Specific Topics",Replicate Weight Detailed Tables
795,00,State-Public Use Microdata Sample Area (PUMA),Ö,Ö,,Ö,Ö,
860,00,5-digit ZIP Code Tabulation Area    ,Ö,Ö,,Ö,Ö,Ö
950,00,State-School District/Remainder (Elementary),Ö,Ö,,Ö,Ö,
960,00,State-School District/Remainder (Secondary),Ö,Ö,,Ö,Ö,
970,00,State-School District/Remainder (Unified),Ö,Ö,,Ö,Ö,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
