bg_geoid,municipio,building_count,osm_pv_count,detected_pv_count,overlap_count,total_detected_area_deg2,detected_pv_rate,annual_flux_mean_kwh_per_kw_yr,flux_pixel_count,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,race_total,nh_white_alone,nh_black_alone,nh_aian_alone,nh_asian_alone,nh_nhpi_alone,nh_other_alone,nh_two_or_more,hispanic_or_latino,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,pct_owner_occupied,pct_bachelor_plus,diversity_index,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
721270043063,San Juan,47,0,12,0,5.0089886907718375e-08,0.2553191489361702,1648.6341182092242,937842,2499.0,257,158,0,158,366,0,0,0,0,0,0,0,366,209,8,0,0,0,0.0,0.03827751196172249,0.0,1,521.0,256.0,76222.0,0.8982758620689655,0.8982758620689655,0.9770992366412213,1.0,true
721270044001,San Juan,390,4,12,2,1.1677996517334854e-07,0.03076923076923077,1550.025283334496,52054,12039.0,463,347,194,153,660,0,0,0,0,0,0,0,660,512,42,0,0,0,0.5590778097982709,0.08203125,0.0,10,608.0,386.0,96801.0,1.064798598949212,1.064798598949212,1.1352941176470588,1.0,true
721270044002,San Juan,38,3,6,3,1.74101021659571e-07,0.15789473684210525,,0,,186,175,36,139,406,7,0,0,0,0,8,0,391,240,94,7,0,0,0.2057142857142857,0.42083333333333334,0.07184110267174648,1,334.0,196.0,44422.0,12.37037037037037,12.37037037037037,7.538461538461538,1.0,true
721270044003,San Juan,458,4,17,2,2.1051786432354733e-07,0.03711790393013101,1651.4869021692148,341062,24000.0,442,296,196,100,579,0,0,0,0,0,0,6,573,490,94,5,0,0,0.6621621621621622,0.20204081632653062,0.020510617734704306,20,631.0,427.0,189577.0,1.0344262295081967,1.0344262295081967,0.9046610169491526,1.0,true
721270045001,San Juan,374,6,9,3,4.712920387432209e-08,0.02406417112299465,,0,13750.0,460,264,105,159,479,0,0,0,0,0,0,0,479,434,40,11,0,13,0.3977272727272727,0.14746543778801843,0.0,11,692.0,404.0,101114.0,1.130718954248366,1.130718954248366,0.9782082324455206,1.0,true
721270045002,San Juan,376,5,15,3,2.941894230236262e-08,0.0398936170212766,1561.7024532356618,44287,19821.0,496,362,196,166,822,0,0,0,0,0,0,0,822,613,65,13,0,0,0.5414364640883977,0.1272430668841762,0.0,15,757.0,450.0,126493.0,0.7910135841170324,0.7910135841170324,0.847457627118644,1.0,true
721270046001,San Juan,344,5,25,3,8.72136939865528e-08,0.07267441860465117,1525.8085174704302,134803,20000.0,562,392,233,159,1104,0,0,0,0,0,0,0,1104,950,74,6,0,0,0.5943877551020408,0.08421052631578947,0.0,10,716.0,404.0,218672.0,0.7473903966597077,0.7473903966597077,0.831275720164609,1.0,true
721270046002,San Juan,195,0,4,0,2.072489321079931e-08,0.020512820512820513,1652.9946823036998,139520,27955.0,245,180,90,90,667,0,0,0,0,0,0,0,667,425,33,0,0,0,0.5,0.07764705882352942,0.0,4,507.0,265.0,53746.0,1.058455114822547,1.058455114822547,0.9013605442176871,1.0,true
721270046003,San Juan,187,0,6,0,1.0524828343414925e-08,0.03208556149732621,1615.6944851529022,6651,20694.0,194,103,75,28,152,0,0,0,0,0,0,0,152,152,9,29,0,0,0.7281553398058253,0.25,0.0,4,480.0,255.0,50496.0,0.8275862068965517,0.8275862068965517,0.85,1.0,true
721270046004,San Juan,409,0,14,0,1.2436147464604702e-08,0.034229828850855744,1564.103353421982,238710,15244.0,573,394,267,127,960,0,0,0,0,0,0,0,960,678,103,13,0,0,0.6776649746192893,0.1710914454277286,0.0,11,665.0,472.0,89536.0,0.5990990990990991,0.5990990990990991,0.8597449908925319,1.0,true
721270047001,San Juan,355,0,33,0,4.203455854227066e-07,0.09295774647887324,1585.354069311287,281356,,430,348,71,277,729,0,0,0,0,0,0,0,729,414,27,0,0,0,0.20402298850574713,0.06521739130434782,0.0,13,885.0,439.0,275666.0,1.7629482071713147,1.7629482071713147,1.0427553444180522,1.0,true
721270047002,San Juan,717,0,10,0,3.620392448487747e-08,0.01394700139470014,1557.1558489413517,507126,22857.0,677,492,447,45,799,0,0,0,0,0,0,0,799,799,67,31,20,0,0.9085365853658537,0.1476846057571965,0.0,21,1124.0,765.0,153579.0,0.7757073844030365,0.7757073844030365,0.7927461139896373,1.0,true
721270047003,San Juan,406,0,10,0,4.060194666136823e-08,0.024630541871921183,1494.675789525007,10931,12845.0,659,370,204,166,662,0,0,0,0,0,0,0,662,545,130,0,0,0,0.5513513513513514,0.23853211009174313,0.0,15,778.0,480.0,128395.0,0.6366612111292962,0.6366612111292962,0.9248554913294798,1.0,true
721270047004,San Juan,279,0,6,0,3.6716138018043086e-08,0.021505376344086023,,0,,434,254,221,33,893,0,0,0,0,0,0,0,893,779,37,0,0,0,0.8700787401574803,0.04749679075738126,0.0,10,617.0,380.0,86045.0,1.018151815181518,1.018151815181518,1.1143695014662756,1.0,true
721270047005,San Juan,522,0,8,0,1.8832703230571092e-08,0.01532567049808429,1381.6147220069722,48077,32675.0,555,449,261,188,1039,0,0,0,0,0,0,0,1039,903,63,0,0,21,0.5812917594654788,0.09302325581395349,0.0,11,947.0,506.0,136789.0,0.678853046594982,0.678853046594982,0.9844357976653697,1.0,true
721270048001,San Juan,132,0,5,0,1.802099748645759e-07,0.03787878787878788,1635.8633295922364,160612,2499.0,689,614,18,596,1503,0,0,0,0,0,0,0,1503,736,0,0,0,0,0.029315960912052116,0.0,0.0,6,1216.0,580.0,108991.0,0.9382716049382716,0.9382716049382716,0.882800608828006,1.0,true
721270048002,San Juan,125,0,1,0,1.0190602939044674e-08,0.008,1627.6388290551613,67358,2499.0,740,687,0,687,1955,43,11,0,0,0,0,0,1901,926,43,0,0,0,0.0,0.04643628509719223,0.05396458683551253,3,1300.0,515.0,84258.0,1.1732851985559567,1.1732851985559567,0.9484346224677717,1.0,true
