tract_geoid,municipio,building_count,occupied_h3_cell_count,nsrdb_site_count,osm_pv_count,detected_pv_count,any_pv_signal_count,overlap_count,total_detected_area_deg2,osm_pv_rate,osm_labeled_buildings_per_1000,detected_pv_rate,detected_pv_buildings_per_1000,any_pv_signal_rate,any_pv_evidence_buildings_per_1000,nsrdb_multiyear_ghi_mean,nsrdb_multiyear_dni_mean,nsrdb_multiyear_dhi_mean,nsrdb_multiyear_air_temperature_mean,acs_vintage,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,language_population_5plus,spanish_speaking_18_64,spanish_english_well_18_64,spanish_english_not_well_18_64,spanish_english_not_at_all_18_64,pct_owner_occupied,pct_bachelor_plus,pct_spanish_speaking_18_64,pct_spanish_english_well_18_64,pct_spanish_english_not_well_18_64,pct_spanish_english_not_at_all_18_64,cdc_svi_2020_location,cdc_svi_2020_overall_percentile,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
72127000400,San Juan,493,19,1,20,46,53,13,1.5672616072952057e-07,0.04056795131845842,40.56795131845842,0.09330628803245436,93.30628803245436,0.1075050709939148,107.50507099391481,240.80930160334114,256.76014905681666,69.00380154363599,28.130165050581134,2024,19819.0,913,576,331,245,852,214,20,80,22,976,530,103,11,212,0.5746527777777778,0.39436619718309857,0.5430327868852459,0.19433962264150945,0.020754716981132074,0.4,"Census Tract 4, San Juan Municipio, Puerto Rico",39.15,16,1073.0,837.0,117178.0,0.7405106970324362,0.7405106970324362,0.7807835820895522,1.0,true
72127000506,San Juan,771,47,1,45,124,141,28,6.596642078892379e-07,0.058365758754863814,58.36575875486381,0.1608300907911803,160.83009079118028,0.1828793774319066,182.87937743190662,240.8093016033438,256.7601490568175,69.00380154363619,28.130165050581137,2024,66176.0,1219,826,454,372,1464,349,206,111,92,1790,747,203,102,49,0.549636803874092,0.51775956284153,0.4173184357541899,0.2717536813922356,0.13654618473895583,0.06559571619812583,"Census Tract 5.06, San Juan Municipio, Puerto Rico",34.489999999999995,52,1344.0,1248.0,391876.0,0.6699900299102692,0.6699900299102692,0.8432432432432433,1.0,true
72127000600,San Juan,304,67,1,12,32,32,12,8.135164192001554e-07,0.039473684210526314,39.473684210526315,0.10526315789473684,105.26315789473684,0.10526315789473684,105.26315789473684,240.8093016033432,256.7601490568148,69.00380154363555,28.130165050581137,2024,30272.0,1125,889,304,585,1436,320,295,194,35,1775,896,133,165,81,0.34195725534308213,0.5877437325905293,0.5047887323943662,0.1484375,0.18415178571428573,0.09040178571428571,"Census Tract 6, San Juan Municipio, Puerto Rico",47.83,25,1978.0,1039.0,694427.0,1.3213092852371409,1.3213092852371409,1.1293478260869565,1.0,true
72127000700,San Juan,348,77,1,8,25,25,8,4.643636543820818e-07,0.022988505747126436,22.988505747126435,0.07183908045977011,71.83908045977012,0.07183908045977011,71.83908045977012,240.80930160334245,256.76014905681546,69.0038015436357,28.130165050581137,2024,21281.0,1212,861,411,450,1332,323,212,69,73,1674,820,123,108,97,0.47735191637630664,0.5082582582582582,0.48984468339307047,0.15,0.13170731707317074,0.11829268292682926,"Census Tract 7, San Juan Municipio, Puerto Rico",62.150000000000006,31,1933.0,1189.0,764766.0,0.7363809523809524,0.7363809523809524,1.1476833976833978,0.9174135178158638,true
72127000900,San Juan,427,51,2,7,35,38,4,2.5142380643071414e-07,0.01639344262295082,16.39344262295082,0.08196721311475409,81.9672131147541,0.08899297423887588,88.99297423887587,238.7978564811577,251.36558031803582,71.40671619117764,28.12551085958741,2024,82179.0,2564,1683,1234,449,2602,792,385,558,67,2847,1133,189,20,0,0.7332144979203803,0.6925441967717141,0.39796276782578155,0.16681376875551632,0.0176522506619594,0.0,"Census Tract 9, San Juan Municipio, Puerto Rico",0.65,24,2724.0,2345.0,499699.0,0.8870074894171279,0.8870074894171279,1.0125215889464594,1.0,true
72127001001,San Juan,337,41,1,5,34,35,4,3.812794306714332e-07,0.01483679525222552,14.836795252225519,0.10089020771513353,100.89020771513353,0.10385756676557864,103.85756676557864,237.31789076117755,247.3964057582009,73.17471436680808,28.12208643450666,2024,60923.0,2943,1682,816,866,2452,568,349,417,128,2645,926,212,160,24,0.48513674197384066,0.5962479608482871,0.3500945179584121,0.22894168466522677,0.17278617710583152,0.02591792656587473,"Census Tract 10.01, San Juan Municipio, Puerto Rico",6.29,19,3876.0,3121.0,376003.0,1.3519358214161143,1.3519358214161143,1.1971614883007289,1.0,true
72127001002,San Juan,255,26,1,11,21,26,6,8.9843119755568e-08,0.043137254901960784,43.13725490196079,0.08235294117647059,82.3529411764706,0.10196078431372549,101.96078431372548,237.31789076117838,247.3964057581999,73.1747143668084,28.122086434506585,2024,74057.0,1395,1094,814,280,1585,582,397,228,75,1779,1052,29,19,0,0.7440585009140768,0.8088328075709779,0.5913434513771781,0.027566539923954372,0.01806083650190114,0.0,"Census Tract 10.02, San Juan Municipio, Puerto Rico",0.33,10,2064.0,1394.0,199700.0,1.1266375545851528,1.1266375545851528,0.9680555555555556,1.0,true
72127001100,San Juan,685,39,2,36,50,58,28,3.0805411663760253e-07,0.052554744525547446,52.55474452554745,0.072992700729927,72.99270072992701,0.08467153284671533,84.67153284671532,237.60474083527563,246.03249319340242,74.57506777067593,28.145236672875278,2024,60982.0,1419,893,669,224,1491,586,241,162,50,1807,937,158,59,50,0.7491601343784995,0.6968477531857814,0.5185390149418926,0.16862326574172892,0.06296691568836713,0.05336179295624333,"Census Tract 11, San Juan Municipio, Puerto Rico",27.66,24,1811.0,1294.0,326838.0,1.110361741263029,1.110361741263029,1.0352,1.0,true
72127001200,San Juan,851,67,1,54,62,77,39,3.9785985651911303e-07,0.06345475910693302,63.45475910693302,0.07285546415981199,72.85546415981199,0.09048178613396005,90.48178613396004,237.61336790517285,245.99147326664342,74.6171836625216,28.14593292064554,2024,63209.0,1556,903,537,366,1554,654,162,60,145,2002,1096,301,115,2,0.5946843853820598,0.657014157014157,0.5474525474525475,0.27463503649635035,0.10492700729927007,0.0018248175182481751,"Census Tract 12, San Juan Municipio, Puerto Rico",14.97,32,1869.0,1413.0,660914.0,1.1666666666666667,1.1666666666666667,1.0313868613138686,0.993600141918394,true
72127001301,San Juan,123,23,1,2,3,3,2,1.417587128085677e-07,0.016260162601626018,16.260162601626018,0.024390243902439025,24.390243902439025,0.024390243902439025,24.390243902439025,237.61336790517478,245.99147326664027,74.61718366252106,28.14593292064557,2024,8250.0,930,788,0,788,1027,58,0,0,0,1491,970,197,286,378,0.0,0.05647517039922103,0.6505700871898055,0.20309278350515464,0.2948453608247423,0.38969072164948454,"Census Tract 13.01, San Juan Municipio, Puerto Rico",98.59,7,1873.0,878.0,195577.0,0.9724818276220145,0.9724818276220145,0.9051546391752577,1.0,true
